picking_id,order_id,picker_id,store_id,product_id,aisle_id,pick_start_time,pick_end_time,quantity_picked,distance_travelled_m
7000022,5000006,2010,110,10102,A09,2026-04-21 22:08:22,2026-04-21 22:09:00.767650286,1,77.02
7000023,5000006,2001,110,10020,A03,2026-04-21 22:08:42,2026-04-21 22:09:08.293108131,2,29.2
7000024,5000006,2012,110,10017,A01,2026-04-21 22:09:40,2026-04-21 22:10:07.790048758,2,31.28
7000025,5000007,2004,103,10020,A05,2026-03-22 12:09:33,2026-03-22 12:09:56.403339217,1,21.4
7000026,5000008,2030,102,10028,A06,2026-05-17 07:06:07,2026-05-17 07:06:33.386121114,1,34.84
7000027,5000008,2040,102,10027,A12,2026-05-17 07:05:40,2026-05-17 07:06:09.856045370,2,43.82
7000028,5000008,2010,102,10062,A09,2026-05-17 07:07:53,2026-05-17 07:08:07.688648258,1,17.9
7000029,5000008,2011,102,10043,A04,2026-05-17 07:05:23,2026-05-17 07:05:48.327301577,2,31.46
7000030,5000009,2031,102,10237,A03,2026-04-17 22:05:34,2026-04-17 22:06:16.464913532,1,79.98
7000031,5000010,2035,104,10290,A11,2026-06-02 11:07:53,2026-06-02 11:08:27.974748672,2,53.26
7000032,5000010,2035,104,10083,A12,2026-06-02 11:07:04,2026-06-02 11:07:29.415236978,1,42.92
7000033,5000010,2021,104,10001,A04,2026-06-02 11:07:42,2026-06-02 11:07:57.247720149,1,27.12
7000034,5000010,2032,104,10106,A12,2026-06-02 11:07:32,2026-06-02 11:07:54.068509129,1,26.58
7000035,5000011,2033,108,10035,A05,2026-04-05 21:04:57,2026-04-05 21:05:22.344071385,2,27.44
7000036,5000011,2018,108,10013,A01,2026-04-05 21:04:46,2026-04-05 21:05:13.488184215,1,44.88
7000037,5000011,2037,108,10075,A09,2026-04-05 21:07:28,2026-04-05 21:08:18.326686606,3,81.72
7000038,5000011,2031,108,10498,A09,2026-04-05 21:05:40,2026-04-05 21:05:56.412642383,1,20.74
7000039,5000011,2038,108,10025,A10,2026-04-05 21:04:05,2026-04-05 21:04:21.688172060,2,11.3
7000040,5000011,2024,108,10005,A09,2026-04-05 21:07:54,2026-04-05 21:08:14.358012312,1,32.14
7000041,5000011,2014,108,10005,A09,2026-04-05 21:07:57,2026-04-05 21:08:16.737916945,1,32.14
7000042,5000011,2005,108,10028,A09,2026-04-05 21:06:01,2026-04-05 21:06:31.397114204,2,48.4
7000043,5000012,2018,104,10101,A05,2026-06-07 19:05:37,2026-06-07 19:06:14.442302406,1,68.48
7000044,5000012,2033,104,10007,A08,2026-06-07 19:05:10,2026-06-07 19:05:33.535838791,1,36.18
7000045,5000012,2002,104,10214,A06,2026-06-07 19:07:46,2026-06-07 19:08:22.464619733,1,82.74
7000046,5000012,2020,104,10412,A04,2026-06-07 19:04:15,2026-06-07 19:04:44.061301822,1,58.16
7000047,5000012,2038,104,10488,A11,2026-06-07 19:05:04,2026-06-07 19:05:20.313629893,2,17.48
7000048,5000012,2011,104,10092,A09,2026-06-07 19:05:28,2026-06-07 19:05:47.160152897,1,15.26
7000049,5000013,2031,105,10005,A02,2026-01-09 10:07:47,2026-01-09 10:08:00.448893197,1,13.24
7000050,5000013,2036,105,10286,A06,2026-01-09 10:04:21,2026-01-09 10:04:42.306091840,1,27.76
7000051,5000013,2005,105,10325,A07,2026-01-09 10:05:55,2026-01-09 10:06:35.773721675,2,77.24
7000052,5000014,2005,104,10007,A08,2026-01-07 19:04:33,2026-01-07 19:04:56.415885142,2,36.18
7000053,5000014,2011,104,10008,A10,2026-01-07 19:07:56,2026-01-07 19:08:13.988341186,1,34.7
7000054,5000014,2010,104,10026,A03,2026-01-07 19:06:25,2026-01-07 19:06:42.145636648,1,13.18
7000055,5000014,2014,104,10165,A06,2026-01-07 19:07:29,2026-01-07 19:08:02.966474891,1,59.88
7000056,5000015,2039,110,10219,A10,2026-01-18 08:05:18,2026-01-18 08:05:44.201862377,1,32.06
7000057,5000015,2028,110,10031,A12,2026-01-18 08:07:50,2026-01-18 08:08:03.793709330,1,11.44
7000058,5000015,2002,110,10001,A09,2026-01-18 08:07:01,2026-01-18 08:07:19.033222163,1,13.7
7000059,5000015,2004,110,10044,A06,2026-01-18 08:05:25,2026-01-18 08:05:39.662738842,1,19.02
7000060,5000016,2030,107,10014,A06,2026-04-11 13:07:55,2026-04-11 13:08:18.432774490,2,38.46
7000061,5000016,2033,107,10049,A02,2026-04-11 13:07:44,2026-04-11 13:08:02.377768300,1,31.18
7000062,5000017,2019,107,10005,A11,2026-05-09 13:08:36,2026-05-09 13:08:57.581461439,1,17.6
7000063,5000017,2007,107,10006,A01,2026-05-09 13:09:17,2026-05-09 13:09:37.928495655,3,14.86
7000064,5000017,2029,107,10030,A07,2026-05-09 13:08:53,2026-05-09 13:09:18.803564830,1,53.66
7000065,5000017,2035,107,10073,A06,2026-05-09 13:06:39,2026-05-09 13:07:07.703728714,1,45.46
7000066,5000018,2037,105,10066,A09,2026-02-09 18:07:34,2026-02-09 18:07:52.580720636,1,24.2
7000067,5000018,2040,105,10013,A05,2026-02-09 18:07:38,2026-02-09 18:07:58.320346804,1,30.3
7000068,5000018,2005,105,10229,A09,2026-02-09 18:06:34,2026-02-09 18:07:01.413504765,1,41.6
7000069,5000018,2005,105,10024,A08,2026-02-09 18:06:48,2026-02-09 18:07:05.192042436,2,21.82
7000070,5000018,2025,105,10009,A05,2026-02-09 18:06:07,2026-02-09 18:06:30.393389576,2,19.48
7000071,5000019,2030,106,10310,A12,2026-01-29 16:09:04,2026-01-29 16:09:36.126384451,2,47.04
7000072,5000019,2026,106,10255,A03,2026-01-29 16:09:41,2026-01-29 16:10:14.483407939,1,55.18
7000073,5000019,2019,106,10099,A10,2026-01-29 16:06:40,2026-01-29 16:07:10.341844955,3,28.2
7000074,5000020,2034,109,10003,A10,2026-06-05 17:06:30,2026-06-05 17:06:52.727528443,1,42.12
7000075,5000020,2032,109,10004,A03,2026-06-05 17:06:46,2026-06-05 17:07:13.371877872,1,44.1
7000076,5000021,2015,107,10022,A06,2026-05-16 15:06:32,2026-05-16 15:07:06.379645535,2,50.28
7000077,5000021,2004,107,10067,A01,2026-05-16 15:06:56,2026-05-16 15:07:31.571414566,1,73.56
7000078,5000021,2032,107,10361,A01,2026-05-16 15:06:33,2026-05-16 15:07:14.193877099,2,70.16
7000079,5000021,2031,107,10219,A04,2026-05-16 15:06:05,2026-05-16 15:06:39.737078814,1,65.9
7000080,5000022,2003,109,10066,A01,2026-04-28 19:06:03,2026-04-28 19:06:17.468438705,1,23.08
7000081,5000023,2036,101,10058,A12,2026-03-30 09:06:31,2026-03-30 09:07:00.447439830,1,34.28
7000082,5000023,2010,101,10023,A05,2026-03-30 09:07:18,2026-03-30 09:07:44.116310555,2,28.86
7000083,5000023,2009,101,10247,A08,2026-03-30 09:08:36,2026-03-30 09:09:09.247200506,1,58.84
7000084,5000023,2026,101,10421,A05,2026-03-30 09:06:47,2026-03-30 09:07:23.386452604,1,70.96
7000085,5000024,2040,109,10317,A03,2026-03-18 19:07:30,2026-03-18 19:07:53.300589896,2,26.06
7000086,5000024,2008,109,10057,A12,2026-03-18 19:07:54,2026-03-18 19:08:25.775856610,1,62.68
7000087,5000024,2040,109,10446,A04,2026-03-18 19:08:50,2026-03-18 19:09:04.810967399,1,15.88
7000088,5000024,2037,109,10001,A06,2026-03-18 19:05:17,2026-03-18 19:05:38.548835577,1,31.38
7000089,5000024,2038,109,10028,A09,2026-03-18 19:05:26,2026-03-18 19:05:41.519109916,1,17.92
7000090,5000024,2015,109,10248,A01,2026-03-18 19:06:26,2026-03-18 19:06:45.630668358,1,25.12
7000091,5000024,2017,109,10439,A11,2026-03-18 19:08:37,2026-03-18 19:09:00.742755224,1,45.28
7000092,5000024,2031,109,10451,A08,2026-03-18 19:06:25,2026-03-18 19:06:45.480701166,1,29.98
7000093,5000025,2015,110,10076,A08,2026-01-04 07:06:11,2026-01-04 07:06:35.560852349,2,33.64
7000094,5000025,2008,110,10428,A06,2026-01-04 07:05:17,2026-01-04 07:05:36.878933078,1,28.52
7000095,5000026,2031,107,10117,A03,2026-02-04 08:06:18,2026-02-04 08:06:43.797151845,2,32.96
7000096,5000026,2013,107,10202,A12,2026-02-04 08:06:41,2026-02-04 08:07:00.435633885,2,12.0
7000097,5000027,2009,110,10092,A10,2026-06-12 19:06:22,2026-06-12 19:06:51.176691904,1,46.52
7000098,5000027,2034,110,10023,A04,2026-06-12 19:04:18,2026-06-12 19:04:37.827212961,1,39.46
7000099,5000028,2010,106,10011,A06,2026-03-03 09:08:47,2026-03-03 09:09:21.373468895,1,62.42
7000100,5000028,2020,106,10139,A05,2026-03-03 09:06:52,2026-03-03 09:07:21.309625058,1,42.68
7000101,5000028,2004,106,10321,A04,2026-03-03 09:07:19,2026-03-03 09:07:37.794103602,1,13.8
7000102,5000028,2025,106,10123,A09,2026-03-03 09:07:47,2026-03-03 09:08:03.434419646,1,16.2
7000103,5000029,2005,103,10105,A03,2026-05-08 20:06:40,2026-05-08 20:07:16.599919988,2,64.38
7000104,5000029,2001,103,10051,A12,2026-05-08 20:06:03,2026-05-08 20:06:31.414934573,1,44.14
7000105,5000029,2017,103,10038,A01,2026-05-08 20:09:56,2026-05-08 20:10:13.039347869,1,29.78
7000106,5000029,2035,103,10395,A03,2026-05-08 20:09:33,2026-05-08 20:09:52.645927762,1,31.02
7000107,5000029,2033,103,10003,A04,2026-05-08 20:07:59,2026-05-08 20:08:26.552429399,1,43.16
7000108,5000029,2032,103,10101,A11,2026-05-08 20:06:57,2026-05-08 20:07:33.750467824,2,66.42
7000109,5000029,2013,103,10007,A07,2026-05-08 20:09:45,2026-05-08 20:10:07.666342010,1,29.44
7000110,5000029,2038,103,10104,A05,2026-05-08 20:06:01,2026-05-08 20:06:31.511968905,1,56.42
7000111,5000030,2021,107,10034,A03,2026-05-08 09:08:02,2026-05-08 09:08:14.681262199,1,10.9
7000112,5000030,2037,107,10005,A11,2026-05-08 09:07:04,2026-05-08 09:07:23.844396256,1,17.6
7000113,5000030,2028,107,10003,A02,2026-05-08 09:06:10,2026-05-08 09:06:29.150309849,2,19.5
7000114,5000030,2026,107,10250,A12,2026-05-08 09:06:38,2026-05-08 09:07:18.846679212,2,73.8
7000115,5000030,2010,107,10002,A06,2026-05-08 09:09:55,2026-05-08 09:10:15.953679032,2,24.22
7000116,5000031,2020,107,10461,A04,2026-02-26 09:06:01,2026-02-26 09:06:19.349563885,1,14.32
7000117,5000032,2016,102,10028,A06,2026-02-06 22:09:10,2026-02-06 22:09:31.662754543,1,34.84
7000118,5000032,2039,102,10469,A08,2026-02-06 22:08:50,2026-02-06 22:09:15.613016999,2,39.86
7000119,5000032,2034,102,10045,A06,2026-02-06 22:07:04,2026-02-06 22:07:23.996719123,1,26.36
7000120,5000032,2032,102,10248,A06,2026-02-06 22:06:22,2026-02-06 22:06:51.859628135,1,62.54
7000121,5000032,2037,102,10010,A04,2026-02-06 22:09:43,2026-02-06 22:10:15.042293709,3,44.16
7000122,5000032,2009,102,10012,A07,2026-02-06 22:07:17,2026-02-06 22:07:43.205326130,1,43.58
7000123,5000032,2012,102,10122,A05,2026-02-06 22:08:47,2026-02-06 22:09:20.459062723,2,53.3
7000124,5000033,2027,103,10420,A06,2026-05-06 10:05:28,2026-05-06 10:05:46.883565717,1,32.46
7000125,5000034,2004,103,10367,A11,2026-01-17 22:09:53,2026-01-17 22:10:28.168348209,1,69.02
7000126,5000034,2009,103,10222,A10,2026-01-17 22:06:16,2026-01-17 22:06:36.599656752,1,34.82
7000127,5000034,2004,103,10259,A08,2026-01-17 22:06:09,2026-01-17 22:06:46.756822286,1,80.38
7000128,5000035,2025,106,10497,A08,2026-03-31 12:06:30,2026-03-31 12:06:46.814303521,2,14.06
7000129,5000035,2008,106,10219,A04,2026-03-31 12:07:14,2026-03-31 12:07:32.763000229,1,32.76
7000130,5000035,2029,106,10040,A03,2026-03-31 12:09:14,2026-03-31 12:09:45.301860672,2,50.44
7000131,5000035,2022,106,10029,A05,2026-03-31 12:06:30,2026-03-31 12:06:47.117356629,1,31.72
7000132,5000035,2017,106,10074,A04,2026-03-31 12:09:29,2026-03-31 12:10:06.805607663,1,80.0
7000133,5000036,2038,102,10001,A01,2026-06-10 20:07:29,2026-06-10 20:07:59.696618581,3,33.92
7000134,5000036,2019,102,10002,A03,2026-06-10 20:06:52,2026-06-10 20:07:24.241600226,1,57.88
7000135,5000036,2005,102,10390,A05,2026-06-10 20:06:26,2026-06-10 20:06:41.372167792,1,8.98
7000136,5000037,2019,108,10397,A12,2026-05-09 22:04:25,2026-05-09 22:05:05.316388399,3,71.02
7000137,5000037,2036,108,10006,A10,2026-05-09 22:07:08,2026-05-09 22:07:35.835129755,1,45.18
7000138,5000037,2020,108,10001,A03,2026-05-09 22:07:40,2026-05-09 22:08:13.006879342,1,52.3
7000139,5000038,2004,102,10122,A05,2026-05-19 08:07:35,2026-05-19 08:08:07.245406732,1,53.3
7000140,5000038,2002,102,10003,A09,2026-05-19 08:07:43,2026-05-19 08:08:03.653758440,2,26.08
7000141,5000038,2013,102,10197,A09,2026-05-19 08:06:19,2026-05-19 08:06:53.427156170,1,65.6
7000142,5000038,2007,102,10035,A03,2026-05-19 08:06:53,2026-05-19 08:07:11.506329355,1,20.38
7000143,5000038,2024,102,10024,A08,2026-05-19 08:08:07,2026-05-19 08:08:26.454011720,2,15.48
7000144,5000039,2024,110,10018,A04,2026-01-16 12:05:30,2026-01-16 12:05:58.813717116,1,38.02
7000145,5000039,2032,110,10286,A09,2026-01-16 12:05:50,2026-01-16 12:06:06.469153576,1,13.66
7000146,5000039,2013,110,10411,A01,2026-01-16 12:06:31,2026-01-16 12:07:02.949972656,1,67.28
7000147,5000039,2040,110,10004,A11,2026-01-16 12:07:16,2026-01-16 12:07:37.291054764,1,27.82
7000148,5000040,2039,107,10006,A01,2026-02-06 16:04:45,2026-02-06 16:05:02.349615660,1,14.86
7000149,5000040,2008,107,10194,A11,2026-02-06 16:05:39,2026-02-06 16:05:54.991335404,1,11.26
7000150,5000041,2030,104,10381,A07,2026-02-19 21:05:56,2026-02-19 21:06:35.535126750,1,76.7
7000151,5000041,2007,104,10394,A08,2026-02-19 21:07:51,2026-02-19 21:08:11.660672087,2,18.0
7000152,5000041,2017,104,10332,A05,2026-02-19 21:07:20,2026-02-19 21:07:43.092061079,1,47.1
7000153,5000041,2018,104,10043,A11,2026-02-19 21:07:42,2026-02-19 21:08:08.305513644,1,45.5
7000154,5000041,2030,104,10001,A04,2026-02-19 21:05:30,2026-02-19 21:05:53.214234606,2,27.12
7000155,5000042,2035,104,10009,A03,2026-02-22 10:08:40,2026-02-22 10:09:08.103598597,1,54.32
7000156,5000042,2033,104,10010,A05,2026-02-22 10:07:55,2026-02-22 10:08:27.131027737,2,53.92
7000157,5000042,2027,104,10076,A06,2026-02-22 10:05:47,2026-02-22 10:06:23.806106134,3,49.66
7000158,5000042,2018,104,10023,A05,2026-02-22 10:06:33,2026-02-22 10:07:04.668828566,1,59.04
7000159,5000043,2018,107,10466,A07,2026-02-05 10:05:44,2026-02-05 10:06:19.256646620,3,53.92
7000160,5000043,2031,107,10139,A11,2026-02-05 10:06:52,2026-02-05 10:07:34.128133350,3,71.16
7000161,5000043,2011,107,10277,A09,2026-02-05 10:04:18,2026-02-05 10:04:54.250415600,1,62.66
7000162,5000044,2023,101,10365,A07,2026-06-25 13:06:48,2026-06-25 13:07:08.228277986,3,9.42
7000163,5000044,2031,101,10039,A08,2026-06-25 13:06:43,2026-06-25 13:07:08.513734571,2,37.82
7000164,5000045,2004,108,10006,A10,2026-01-30 10:06:58,2026-01-30 10:07:25.720428573,2,45.18
7000165,5000045,2039,108,10001,A03,2026-01-30 10:04:30,2026-01-30 10:04:58.329929789,1,52.3
7000166,5000045,2039,108,10261,A02,2026-01-30 10:05:18,2026-01-30 10:05:58.502449272,3,59.66
7000167,5000045,2026,108,10001,A03,2026-01-30 10:04:14,2026-01-30 10:04:42.659504009,1,52.3
7000168,5000046,2023,106,10100,A03,2026-05-09 11:06:16,2026-05-09 11:06:56.984709349,1,71.18
7000169,5000046,2035,106,10082,A05,2026-05-09 11:08:01,2026-05-09 11:08:42.622284045,1,80.78
7000170,5000046,2006,106,10072,A10,2026-05-09 11:08:13,2026-05-09 11:08:37.560957973,2,17.64
7000171,5000046,2007,106,10456,A12,2026-05-09 11:06:38,2026-05-09 11:07:06.662908067,1,48.52
7000172,5000047,2030,103,10005,A08,2026-04-17 09:08:52,2026-04-17 09:09:11.371278206,2,16.18
7000173,5000047,2018,103,10121,A06,2026-04-17 09:08:04,2026-04-17 09:08:25.986462118,2,21.9
7000174,5000047,2023,103,10010,A06,2026-04-17 09:07:22,2026-04-17 09:07:34.642962677,1,14.54
7000175,5000047,2001,103,10005,A08,2026-04-17 09:06:01,2026-04-17 09:06:15.738895263,1,16.18
7000176,5000047,2015,103,10125,A02,2026-04-17 09:06:16,2026-04-17 09:06:44.672024942,1,50.84
7000177,5000048,2023,109,10051,A03,2026-04-21 21:08:32,2026-04-21 21:08:54.008178893,1,37.88
7000178,5000048,2008,109,10003,A10,2026-04-21 21:08:20,2026-04-21 21:08:43.334379192,1,42.12
7000179,5000048,2020,109,10110,A09,2026-04-21 21:08:46,2026-04-21 21:09:29.073262304,2,74.22
7000180,5000048,2019,109,10461,A11,2026-04-21 21:08:17,2026-04-21 21:08:42.804219715,2,31.62
7000181,5000049,2025,107,10001,A12,2026-02-08 20:07:51,2026-02-08 20:08:08.390240128,1,14.86
7000182,5000049,2028,107,10024,A07,2026-02-08 20:04:39,2026-02-08 20:05:05.130763713,2,31.34
7000183,5000050,2021,102,10165,A12,2026-02-25 09:08:35,2026-02-25 09:08:56.752820345,1,43.62
7000184,5000050,2031,102,10282,A07,2026-02-25 09:06:28,2026-02-25 09:06:48.292108596,3,19.4
7000185,5000050,2006,102,10098,A11,2026-02-25 09:05:09,2026-02-25 09:05:32.925180396,1,42.72
7000186,5000051,2017,107,10009,A09,2026-04-20 16:06:19,2026-04-20 16:06:44.866021065,1,52.88
7000187,5000051,2029,107,10010,A11,2026-04-20 16:07:26,2026-04-20 16:08:00.843779674,2,50.7
7000188,5000051,2022,107,10009,A09,2026-04-20 16:09:39,2026-04-20 16:10:11.739837814,2,52.88
7000189,5000051,2033,107,10421,A05,2026-04-20 16:06:01,2026-04-20 16:06:33.402904305,2,51.04
7000190,5000051,2017,107,10001,A12,2026-04-20 16:09:29,2026-04-20 16:09:50.091129974,2,14.86
7000191,5000052,2004,105,10149,A10,2026-02-24 17:07:01,2026-02-24 17:07:18.584519092,1,18.74
7000192,5000052,2037,105,10101,A12,2026-02-24 17:05:50,2026-02-24 17:06:12.082381953,2,26.46
7000193,5000052,2023,105,10225,A06,2026-02-24 17:07:08,2026-02-24 17:07:23.762982048,2,10.72
7000194,5000052,2033,105,10007,A06,2026-02-24 17:06:42,2026-02-24 17:07:15.792368759,1,55.42
7000195,5000053,2010,108,10009,A11,2026-05-06 17:06:06,2026-05-06 17:06:36.635533857,2,49.34
7000196,5000053,2019,108,10010,A07,2026-05-06 17:08:57,2026-05-06 17:09:24.462765496,2,26.96
7000197,5000053,2038,108,10284,A03,2026-05-06 17:05:00,2026-05-06 17:05:33.178500355,1,73.84
7000198,5000054,2038,105,10499,A09,2026-01-08 23:05:53,2026-01-08 23:06:12.423356742,2,17.28
7000199,5000054,2021,105,10159,A11,2026-01-08 23:08:22,2026-01-08 23:08:55.257601653,1,64.7
7000200,5000054,2008,105,10138,A03,2026-01-08 23:06:32,2026-01-08 23:07:05.627522526,1,70.7
7000201,5000054,2022,105,10011,A06,2026-01-08 23:07:48,2026-01-08 23:08:11.324076949,1,41.12
7000202,5000054,2034,105,10064,A08,2026-01-08 23:05:41,2026-01-08 23:06:04.047556926,1,41.42
7000203,5000055,2001,110,10216,A07,2026-01-14 17:08:12,2026-01-14 17:08:28.598094151,1,15.66
7000204,5000055,2026,110,10433,A12,2026-01-14 17:06:15,2026-01-14 17:06:30.317319360,2,11.9
7000205,5000055,2013,110,10013,A09,2026-01-14 17:06:44,2026-01-14 17:07:20.677013017,3,59.5
7000206,5000055,2026,110,10002,A05,2026-01-14 17:08:29,2026-01-14 17:08:47.142286168,2,13.08
7000207,5000055,2021,110,10225,A06,2026-01-14 17:05:26,2026-01-14 17:05:57.273535656,2,44.0
7000208,5000055,2020,110,10008,A09,2026-01-14 17:06:31,2026-01-14 17:06:55.743323281,1,48.42
7000209,5000055,2039,110,10145,A02,2026-01-14 17:07:19,2026-01-14 17:07:48.656567282,1,65.36
7000210,5000056,2018,110,10017,A01,2026-05-12 18:04:12,2026-05-12 18:04:32.281942904,1,31.28
7000211,5000056,2005,110,10424,A07,2026-05-12 18:05:23,2026-05-12 18:06:00.796877469,1,71.52
7000212,5000056,2026,110,10274,A03,2026-05-12 18:05:04,2026-05-12 18:05:28.529809274,1,40.04
7000213,5000057,2027,101,10009,A08,2026-04-22 07:09:31,2026-04-22 07:09:50.694909438,1,32.24
7000214,5000057,2014,101,10010,A02,2026-04-22 07:07:22,2026-04-22 07:07:48.996664493,1,42.86
7000215,5000057,2040,101,10111,A02,2026-04-22 07:08:32,2026-04-22 07:08:57.329577456,1,45.7
7000216,5000057,2019,101,10002,A03,2026-04-22 07:08:16,2026-04-22 07:08:40.903338332,2,27.94
7000217,5000058,2001,105,10004,A10,2026-01-08 08:07:54,2026-01-08 08:08:13.408212273,1,27.54
7000218,5000058,2022,105,10171,A01,2026-01-08 08:05:01,2026-01-08 08:05:34.150680582,1,68.06
7000219,5000058,2028,105,10008,A02,2026-01-08 08:05:11,2026-01-08 08:05:47.408905248,1,60.02
7000220,5000058,2038,105,10004,A10,2026-01-08 08:05:41,2026-01-08 08:06:04.784875777,1,27.54
7000221,5000058,2007,105,10057,A03,2026-01-08 08:05:04,2026-01-08 08:05:21.429424603,1,19.0
7000222,5000059,2004,103,10477,A04,2026-06-12 17:07:13,2026-06-12 17:07:30.008544448,1,12.64
7000223,5000059,2030,103,10211,A10,2026-06-12 17:05:49,2026-06-12 17:06:02.815554853,1,11.16
7000224,5000059,2028,103,10076,A08,2026-06-12 17:04:31,2026-06-12 17:05:04.209439936,1,70.64
7000225,5000060,2023,105,10009,A05,2026-01-01 22:06:57,2026-01-01 22:07:12.482870019,1,19.48
7000226,5000060,2005,105,10016,A01,2026-01-01 22:07:35,2026-01-01 22:07:59.893539027,1,38.38
7000227,5000060,2031,105,10261,A02,2026-01-01 22:06:02,2026-01-01 22:06:33.418819087,1,53.44
7000228,5000060,2007,105,10003,A03,2026-01-01 22:07:15,2026-01-01 22:07:33.545096213,1,14.22
7000229,5000060,2034,105,10098,A06,2026-01-01 22:07:50,2026-01-01 22:08:16.030672900,1,47.86
7000230,5000061,2031,102,10007,A12,2026-06-22 13:06:55,2026-06-22 13:07:12.697236963,1,16.84
7000231,5000061,2020,102,10008,A08,2026-06-22 13:05:09,2026-06-22 13:05:30.117555867,1,36.28
7000232,5000061,2005,102,10403,A07,2026-06-22 13:07:37,2026-06-22 13:07:58.886034084,2,21.62
7000233,5000061,2040,102,10201,A11,2026-06-22 13:07:55,2026-06-22 13:08:25.047407488,1,60.66
7000234,5000062,2009,106,10174,A10,2026-05-13 17:09:04,2026-05-13 17:09:25.925120108,1,26.14
7000235,5000062,2002,106,10049,A09,2026-05-13 17:06:02,2026-05-13 17:06:38.605171122,2,61.18
7000236,5000062,2039,106,10010,A09,2026-05-13 17:07:07,2026-05-13 17:07:37.147674490,3,47.26
7000237,5000062,2014,106,10016,A02,2026-05-13 17:08:19,2026-05-13 17:08:46.270507127,1,43.1
7000238,5000062,2038,106,10008,A11,2026-05-13 17:08:00,2026-05-13 17:08:16.272530040,1,32.46
7000239,5000063,2003,102,10191,A10,2026-06-28 10:07:02,2026-06-28 10:07:31.371067667,2,47.46
7000240,5000063,2026,102,10110,A07,2026-06-28 10:09:54,2026-06-28 10:10:15.018373930,1,26.28
7000241,5000063,2017,102,10113,A01,2026-06-28 10:06:54,2026-06-28 10:07:20.252565662,1,44.42
7000242,5000063,2004,102,10029,A05,2026-06-28 10:08:45,2026-06-28 10:09:16.876804948,1,62.98
7000243,5000064,2022,107,10017,A08,2026-06-21 14:07:48,2026-06-21 14:08:12.226780179,2,38.46
7000244,5000064,2016,107,10223,A11,2026-06-21 14:05:21,2026-06-21 14:05:35.987981713,1,26.22
7000245,5000064,2025,107,10016,A12,2026-06-21 14:07:04,2026-06-21 14:07:28.622084205,3,28.32
7000246,5000064,2005,107,10005,A11,2026-06-21 14:08:04,2026-06-21 14:08:20.376910495,2,17.6
7000247,5000065,2008,105,10001,A06,2026-02-26 19:06:45,2026-02-26 19:07:07.165194582,1,30.34
7000248,5000065,2034,105,10002,A01,2026-02-26 19:07:37,2026-02-26 19:07:57.321190414,3,21.12
7000249,5000066,2025,110,10001,A09,2026-05-17 18:09:37,2026-05-17 18:09:55.740016368,3,13.7
7000250,5000066,2003,110,10002,A05,2026-05-17 18:07:35,2026-05-17 18:07:54.588832565,2,13.08
7000251,5000066,2015,110,10153,A10,2026-05-17 18:08:45,2026-05-17 18:09:08.230913456,1,24.08
7000252,5000066,2018,110,10046,A10,2026-05-17 18:09:10,2026-05-17 18:09:36.951603696,1,52.68
