order_item_id,order_id,product_id,quantity,unit_price
9000062,5000017,10005,1,93.94
9000063,5000017,10006,3,65.58
9000064,5000017,10030,1,64.87
9000065,5000017,10073,1,29.31
9000066,5000018,10066,1,72.12
9000067,5000018,10013,1,20.18
9000068,5000018,10229,1,49.14
9000069,5000018,10024,2,68.89
9000070,5000018,10009,2,46.79
9000071,5000019,10310,2,51.35
9000072,5000019,10255,1,90.1
9000073,5000019,10099,3,78.04
9000074,5000020,10003,1,35.67
9000075,5000020,10004,1,76.16
9000076,5000021,10022,2,67.86
9000077,5000021,10067,1,63.32
9000078,5000021,10361,2,267.58
9000079,5000021,10219,1,92.26
9000080,5000022,10066,1,72.12
9000081,5000023,10058,1,49.92
9000082,5000023,10023,2,41.27
9000083,5000023,10247,1,71.83
9000084,5000023,10421,1,48.78
9000085,5000024,10317,2,64.86
9000086,5000024,10057,1,61.8
9000087,5000024,10446,1,68.32
9000088,5000024,10001,1,36.98
9000089,5000024,10028,1,52.3
9000090,5000024,10248,1,49.71
9000091,5000024,10439,1,50.25
9000092,5000024,10451,1,30.71
9000093,5000025,10076,2,64.53
9000094,5000025,10428,1,40.0
9000095,5000026,10117,2,103.26
9000096,5000026,10202,2,115.49
9000097,5000027,10092,1,101.9
9000098,5000027,10023,1,41.27
9000099,5000028,10011,1,21.85
9000100,5000028,10139,1,69.1
9000101,5000028,10321,1,51.11
9000102,5000028,10123,1,23.5
9000103,5000029,10105,2,29.63
9000104,5000029,10051,1,41.7
9000105,5000029,10038,1,49.62
9000106,5000029,10395,1,61.12
9000107,5000029,10003,1,35.67
9000108,5000029,10101,2,30.32
9000109,5000029,10007,1,47.32
9000110,5000029,10104,1,122.19
9000111,5000030,10034,1,123.28
9000112,5000030,10005,1,93.94
9000113,5000030,10003,2,35.67
9000114,5000030,10250,2,59.09
9000115,5000030,10002,2,67.7
9000116,5000031,10461,1,64.58
9000117,5000032,10028,1,52.3
9000118,5000032,10469,2,38.24
9000119,5000032,10045,1,45.56
9000120,5000032,10248,1,49.71
9000121,5000032,10010,3,87.16
9000122,5000032,10012,1,46.16
9000123,5000032,10122,2,68.31
9000124,5000033,10420,1,152.96
9000125,5000034,10367,1,86.0
9000126,5000034,10222,1,72.19
9000127,5000034,10259,1,57.37
9000128,5000035,10497,2,61.24
9000129,5000035,10219,1,92.26
9000130,5000035,10040,2,43.76
9000131,5000035,10029,1,81.08
9000132,5000035,10074,1,35.01
9000133,5000036,10001,3,36.98
9000134,5000036,10002,1,67.7
9000135,5000036,10390,1,20.51
9000136,5000037,10397,3,31.33
9000137,5000037,10006,1,65.58
9000138,5000037,10001,1,36.98
9000139,5000038,10122,1,68.31
9000140,5000038,10003,2,35.67
9000141,5000038,10197,1,102.09
9000142,5000038,10035,1,33.61
9000143,5000038,10024,2,68.89
9000144,5000039,10018,1,25.76
9000145,5000039,10286,1,107.73
9000146,5000039,10411,1,38.94
9000147,5000039,10004,1,76.16
9000148,5000040,10006,1,65.58
9000149,5000040,10194,1,50.23
9000150,5000041,10381,1,27.91
9000151,5000041,10394,2,53.84
9000152,5000041,10332,1,61.69
9000153,5000041,10043,1,62.12
9000154,5000041,10001,2,36.98
9000155,5000042,10009,1,46.79
9000156,5000042,10010,2,87.16
9000157,5000042,10076,3,64.53
9000158,5000042,10023,1,41.27
9000159,5000043,10466,3,68.43
9000160,5000043,10139,3,69.1
9000161,5000043,10277,1,79.04
9000162,5000044,10365,3,45.56
9000163,5000044,10039,2,110.16
9000164,5000045,10006,2,65.58
9000165,5000045,10001,1,36.98
9000166,5000045,10261,3,134.13
9000167,5000045,10001,1,36.98
9000168,5000046,10100,1,148.21
9000169,5000046,10082,1,39.39
9000170,5000046,10072,2,32.59
9000171,5000046,10456,1,85.05
9000172,5000047,10005,2,93.94
9000173,5000047,10121,2,79.95
9000174,5000047,10010,1,87.16
9000175,5000047,10005,1,93.94
9000176,5000047,10125,1,32.55
9000177,5000048,10051,1,41.7
9000178,5000048,10003,1,35.67
9000179,5000048,10110,2,44.18
9000180,5000048,10461,2,64.58
9000181,5000049,10001,1,36.98
9000182,5000049,10024,2,68.89
9000183,5000050,10165,1,137.54
9000184,5000050,10282,3,41.34
9000185,5000050,10098,1,31.94
9000186,5000051,10009,1,46.79
9000187,5000051,10010,2,87.16
9000188,5000051,10009,2,46.79
9000189,5000051,10421,2,48.78
9000190,5000051,10001,2,36.98
9000191,5000052,10149,1,46.75
9000192,5000052,10101,2,30.32
9000193,5000052,10225,2,54.23
9000194,5000052,10007,1,47.32
9000195,5000053,10009,2,46.79
9000196,5000053,10010,2,87.16
9000197,5000053,10284,1,126.58
9000198,5000054,10499,2,65.84
9000199,5000054,10159,1,46.12
9000200,5000054,10138,1,40.05
9000201,5000054,10011,1,21.85
9000202,5000054,10064,1,76.05
9000203,5000055,10216,1,48.3
9000204,5000055,10433,2,107.95
9000205,5000055,10013,3,20.18
9000206,5000055,10002,2,67.7
9000207,5000055,10225,2,54.23
9000208,5000055,10008,1,68.51
9000209,5000055,10145,1,122.18
9000210,5000056,10017,1,38.1
9000211,5000056,10424,1,31.88
9000212,5000056,10274,1,68.12
9000213,5000057,10009,1,46.79
9000214,5000057,10010,1,87.16
9000215,5000057,10111,1,42.09
9000216,5000057,10002,2,67.7
9000217,5000058,10004,1,76.16
9000218,5000058,10171,1,35.36
9000219,5000058,10008,1,68.51
9000220,5000058,10004,1,76.16
9000221,5000058,10057,1,61.8
9000222,5000059,10477,1,33.08
9000223,5000059,10211,1,17.11
9000224,5000059,10076,1,64.53
9000225,5000060,10009,1,46.79
9000226,5000060,10016,1,85.42
9000227,5000060,10261,1,134.13
9000228,5000060,10003,1,35.67
9000229,5000060,10098,1,31.94
9000230,5000061,10007,1,47.32
9000231,5000061,10008,1,68.51
9000232,5000061,10403,2,15.63
9000233,5000061,10201,1,81.08
9000234,5000062,10174,1,46.44
9000235,5000062,10049,2,24.96
9000236,5000062,10010,3,87.16
9000237,5000062,10016,1,85.42
9000238,5000062,10008,1,68.51
9000239,5000063,10191,2,179.7
9000240,5000063,10110,1,44.18
9000241,5000063,10113,1,61.61
9000242,5000063,10029,1,81.08
9000243,5000064,10017,2,38.1
9000244,5000064,10223,1,48.87
9000245,5000064,10016,3,85.42
9000246,5000064,10005,2,93.94
9000247,5000065,10001,1,36.98
9000248,5000065,10002,3,67.7
9000249,5000066,10001,3,36.98
9000250,5000066,10002,2,67.7
9000251,5000066,10153,1,72.95
9000252,5000066,10046,1,34.1
9000253,5000066,10001,1,36.98
9000254,5000067,10177,1,34.77
9000255,5000067,10013,1,20.18
9000256,5000067,10021,1,183.13
9000257,5000067,10072,1,32.59
9000258,5000067,10374,1,76.19
9000259,5000067,10053,1,16.49
9000260,5000067,10003,2,35.67
9000261,5000068,10009,1,46.79
9000262,5000068,10010,1,87.16
9000263,5000068,10006,1,65.58
9000264,5000068,10008,1,68.51
9000265,5000069,10115,1,70.65
9000266,5000069,10471,2,42.86
9000267,5000069,10342,1,51.48
9000268,5000069,10284,1,126.58
9000269,5000070,10009,2,46.79
9000270,5000070,10010,2,87.16
9000271,5000070,10007,1,47.32
9000272,5000070,10052,3,96.92
9000273,5000070,10199,2,43.92
9000274,5000071,10014,1,25.85
9000275,5000071,10313,1,91.19
9000276,5000071,10199,1,43.92
9000277,5000072,10152,1,31.29
9000278,5000072,10343,2,100.19
9000279,5000072,10021,1,183.13
9000280,5000072,10418,1,120.8
9000281,5000073,10042,1,58.31
9000282,5000073,10044,1,119.39
9000283,5000073,10275,2,101.99
9000284,5000074,10313,1,91.19
9000285,5000074,10185,1,80.84
9000286,5000075,10009,3,46.79
9000287,5000075,10010,1,87.16
9000288,5000075,10240,1,113.36
9000289,5000076,10054,1,36.84
9000290,5000077,10001,1,36.98
9000291,5000077,10002,3,67.7
9000292,5000077,10340,1,55.4
9000293,5000078,10007,1,47.32
9000294,5000078,10008,2,68.51
9000295,5000078,10164,1,44.91
9000296,5000078,10072,1,32.59
9000297,5000078,10007,1,47.32
9000298,5000079,10001,1,36.98
9000299,5000079,10050,1,75.09
9000300,5000079,10016,1,85.42
9000301,5000080,10017,2,38.1
9000302,5000080,10125,1,32.55
9000303,5000080,10073,1,29.31
9000304,5000081,10013,1,20.18
9000305,5000081,10357,2,131.22
9000306,5000081,10074,1,35.01
9000307,5000081,10005,1,93.94
9000308,5000081,10012,1,46.16
9000309,5000082,10456,2,85.05
9000310,5000082,10065,1,66.19
9000311,5000082,10203,1,43.41
9000312,5000083,10496,1,25.4
9000313,5000083,10029,1,81.08
9000314,5000083,10001,1,36.98
9000315,5000083,10113,1,61.61
9000316,5000084,10001,1,36.98
9000317,5000084,10042,1,58.31
9000318,5000084,10012,1,46.16
9000319,5000084,10321,1,51.11
9000320,5000085,10004,2,76.16
9000321,5000085,10331,1,44.66
9000322,5000085,10050,1,75.09
9000323,5000085,10064,1,76.05
9000324,5000086,10001,1,36.98
9000325,5000086,10187,3,38.21
9000326,5000086,10176,1,54.12
9000327,5000086,10149,1,46.75
9000328,5000087,10003,1,35.67
9000329,5000087,10004,1,76.16
9000330,5000087,10279,2,64.74
9000331,5000087,10001,2,36.98
9000332,5000088,10217,1,32.61
9000333,5000088,10212,1,33.72
9000334,5000089,10408,1,55.66
9000335,5000089,10101,1,30.32
9000336,5000090,10028,1,52.3
9000337,5000090,10003,1,35.67
9000338,5000090,10314,2,55.67
9000339,5000090,10091,1,106.49
9000340,5000091,10026,1,47.06
9000341,5000091,10304,1,50.63
9000342,5000092,10178,3,46.01
9000343,5000092,10004,2,76.16
9000344,5000092,10140,1,41.82
9000345,5000092,10292,2,66.59
9000346,5000093,10018,1,25.76
9000347,5000093,10014,2,25.85
9000348,5000093,10425,1,37.49
9000349,5000093,10183,1,42.04
9000350,5000093,10345,2,66.55
9000351,5000094,10003,1,35.67
9000352,5000094,10004,2,76.16
9000353,5000095,10111,1,42.09
9000354,5000095,10096,1,30.63
9000355,5000095,10019,2,15.0
9000356,5000095,10001,1,36.98
9000357,5000095,10083,1,71.82
9000358,5000095,10470,2,108.34
9000359,5000095,10042,2,58.31
9000360,5000095,10411,1,38.94
9000361,5000095,10003,2,35.67
9000362,5000095,10015,1,107.98
9000363,5000096,10022,1,67.86
9000364,5000096,10037,3,106.47
9000365,5000096,10095,3,16.36
9000366,5000096,10291,1,31.6
9000367,5000096,10101,1,30.32
9000368,5000097,10006,1,65.58
9000369,5000097,10002,2,67.7
9000370,5000097,10170,1,64.05
9000371,5000097,10185,1,80.84
9000372,5000097,10001,1,36.98
9000373,5000097,10004,1,76.16
9000374,5000098,10340,2,55.4
9000375,5000098,10110,1,44.18
9000376,5000098,10061,1,60.44
9000377,5000099,10004,1,76.16
9000378,5000099,10022,1,67.86
9000379,5000099,10188,2,28.26
9000380,5000099,10101,2,30.32
9000381,5000099,10089,1,60.03
9000382,5000100,10250,1,59.09
9000383,5000100,10195,1,82.14
9000384,5000100,10022,1,67.86
9000385,5000100,10391,1,54.26
9000386,5000101,10116,1,40.9
9000387,5000101,10006,2,65.58
9000388,5000101,10077,1,56.01
9000389,5000101,10050,1,75.09
9000390,5000102,10259,1,57.37
9000391,5000102,10399,1,31.61
9000392,5000103,10014,1,25.85
9000393,5000103,10190,2,65.02
9000394,5000104,10088,1,34.82
9000395,5000104,10363,1,38.34
9000396,5000104,10003,1,35.67
9000397,5000105,10180,1,23.27
9000398,5000105,10453,2,87.37
9000399,5000105,10104,2,122.19
9000400,5000105,10026,2,47.06
9000401,5000105,10148,1,20.73
9000402,5000106,10001,1,36.98
9000403,5000106,10094,1,65.48
9000404,5000106,10042,2,58.31
9000405,5000106,10006,1,65.58
9000406,5000107,10374,1,76.19
9000407,5000107,10065,1,66.19
9000408,5000107,10336,1,112.04
9000409,5000107,10019,2,15.0
9000410,5000107,10027,2,57.38
9000411,5000107,10477,2,33.08
9000412,5000108,10093,1,48.12
9000413,5000108,10039,1,110.16
9000414,5000108,10211,1,17.11
9000415,5000108,10003,2,35.67
9000416,5000108,10226,1,77.54
9000417,5000109,10008,1,68.51
9000418,5000109,10001,1,36.98
9000419,5000109,10491,2,94.85
9000420,5000109,10012,2,46.16
9000421,5000110,10359,1,58.3
9000422,5000111,10074,1,35.01
9000423,5000112,10009,1,46.79
9000424,5000112,10081,2,50.41
9000425,5000112,10012,1,46.16
9000426,5000112,10003,1,35.67
9000427,5000112,10026,1,47.06
9000428,5000112,10068,1,151.04
9000429,5000112,10151,1,49.65
9000430,5000113,10031,2,76.26
9000431,5000113,10024,1,68.89
9000432,5000113,10055,2,23.49
9000433,5000113,10056,1,36.12
9000434,5000113,10280,3,22.38
9000435,5000114,10003,1,35.67
9000436,5000114,10004,1,76.16
9000437,5000114,10080,2,79.02
9000438,5000114,10108,2,23.91
9000439,5000115,10024,3,68.89
9000440,5000115,10014,1,25.85
9000441,5000115,10314,1,55.67
9000442,5000115,10013,2,20.18
9000443,5000115,10141,3,44.44
9000444,5000115,10178,1,46.01
9000445,5000115,10107,2,135.73
9000446,5000115,10044,1,119.39
9000447,5000115,10276,3,75.01
9000448,5000116,10053,3,16.49
9000449,5000116,10004,2,76.16
9000450,5000116,10001,2,36.98
9000451,5000117,10387,1,78.42
9000452,5000117,10280,1,22.38
9000453,5000118,10338,1,18.95
9000454,5000118,10018,3,25.76
9000455,5000118,10020,1,41.61
9000456,5000118,10112,1,81.97
9000457,5000119,10356,2,55.58
9000458,5000119,10350,2,34.91
9000459,5000119,10029,1,81.08
9000460,5000119,10322,2,29.31
9000461,5000119,10041,2,113.02
9000462,5000120,10001,2,36.98
9000463,5000120,10002,1,67.7
9000464,5000120,10107,2,135.73
9000465,5000121,10003,1,35.67
9000466,5000121,10097,1,47.14
9000467,5000121,10001,1,36.98
9000468,5000121,10015,1,107.98
9000469,5000121,10344,1,15.0
9000470,5000122,10367,1,86.0
9000471,5000122,10167,1,125.71
9000472,5000122,10004,1,76.16
9000473,5000122,10373,1,20.73
9000474,5000123,10019,2,15.0
9000475,5000123,10004,1,76.16
9000476,5000123,10033,1,85.53
9000477,5000123,10009,2,46.79
9000478,5000123,10178,2,46.01
9000479,5000123,10029,1,81.08
9000480,5000123,10114,2,22.48
9000481,5000124,10001,1,36.98
9000482,5000124,10002,1,67.7
9000483,5000124,10027,2,57.38
9000484,5000124,10112,3,81.97
9000485,5000125,10121,1,79.95
9000486,5000125,10098,1,31.94
9000487,5000125,10005,1,93.94
9000488,5000125,10001,1,36.98
9000489,5000125,10320,1,94.63
9000490,5000126,10011,1,21.85
9000491,5000127,10002,1,67.7
9000492,5000127,10103,1,61.42
9000493,5000127,10008,1,68.51
9000494,5000127,10438,1,41.03
9000495,5000127,10165,2,137.54
9000496,5000128,10009,1,46.79
9000497,5000128,10010,1,87.16
9000498,5000128,10028,1,52.3
9000499,5000128,10165,1,137.54
9000500,5000129,10007,1,47.32
9000501,5000129,10008,1,68.51
9000502,5000129,10090,1,26.38
9000503,5000129,10406,1,41.31
9000504,5000129,10001,1,36.98
9000505,5000130,10007,1,47.32
9000506,5000130,10008,1,68.51
9000507,5000130,10004,1,76.16
9000508,5000130,10491,2,94.85
9000509,5000131,10005,3,93.94
9000510,5000131,10452,1,52.25
9000511,5000132,10116,1,40.9
9000512,5000132,10309,1,22.35
9000513,5000132,10133,1,40.17
9000514,5000132,10002,3,67.7
9000515,5000133,10219,2,92.26
9000516,5000133,10198,1,42.07
9000517,5000133,10010,1,87.16
9000518,5000134,10004,1,76.16
9000519,5000134,10040,1,43.76
9000520,5000134,10001,2,36.98
9000521,5000135,10001,2,36.98
9000522,5000135,10286,1,107.73
9000523,5000136,10270,1,96.35
9000524,5000136,10062,2,32.97
9000525,5000137,10058,1,49.92
9000526,5000137,10038,3,49.62
9000527,5000137,10008,1,68.51
9000528,5000137,10139,2,69.1
9000529,5000137,10030,1,64.87
9000530,5000138,10023,1,41.27
9000531,5000138,10004,1,76.16
9000532,5000138,10089,1,60.03
9000533,5000138,10470,3,108.34
9000534,5000138,10386,1,32.99
9000535,5000138,10011,1,21.85
9000536,5000139,10061,1,60.44
9000537,5000139,10063,2,77.74
9000538,5000139,10037,1,106.47
9000539,5000139,10017,1,38.1
9000540,5000140,10206,1,48.28
9000541,5000140,10039,2,110.16
9000542,5000140,10239,2,34.42
9000543,5000140,10003,1,35.67
9000544,5000140,10357,1,131.22
9000545,5000140,10217,2,32.61
9000546,5000140,10030,1,64.87
9000547,5000140,10191,2,179.7
9000548,5000141,10106,1,61.84
9000549,5000141,10021,2,183.13
9000550,5000141,10034,1,123.28
9000551,5000142,10100,1,148.21
9000552,5000142,10074,1,35.01
9000553,5000142,10014,1,25.85
9000554,5000142,10305,3,37.6
9000555,5000143,10415,1,66.34
9000556,5000143,10158,2,59.5
9000557,5000143,10118,1,39.89
9000558,5000143,10188,2,28.26
9000559,5000143,10014,2,25.85
9000560,5000144,10021,2,183.13
9000561,5000144,10001,2,36.98
9000562,5000144,10003,1,35.67
9000563,5000145,10022,2,67.86
9000564,5000145,10006,1,65.58
9000565,5000145,10041,2,113.02
9000566,5000146,10024,1,68.89
9000567,5000146,10302,3,49.33
9000568,5000147,10486,1,51.78
9000569,5000147,10019,1,15.0
9000570,5000147,10011,2,21.85
9000571,5000147,10017,1,38.1
9000572,5000148,10003,2,35.67
9000573,5000148,10086,2,52.77
9000574,5000148,10295,1,53.22
9000575,5000148,10028,1,52.3
9000576,5000148,10218,2,53.07
9000577,5000149,10001,1,36.98
9000578,5000149,10002,1,67.7
9000579,5000149,10108,1,23.91
9000580,5000150,10020,1,41.61
9000581,5000150,10120,2,71.56
9000582,5000150,10002,1,67.7
9000583,5000150,10001,1,36.98
9000584,5000151,10004,1,76.16
9000585,5000151,10230,2,29.73
9000586,5000151,10037,1,106.47
9000587,5000152,10009,1,46.79
9000588,5000152,10010,2,87.16
9000589,5000152,10018,1,25.76
9000590,5000153,10008,1,68.51
9000591,5000153,10348,1,45.15
9000592,5000153,10217,1,32.61
9000593,5000153,10002,2,67.7
9000594,5000154,10236,1,95.97
9000595,5000154,10247,1,71.83
9000596,5000154,10004,1,76.16
9000597,5000154,10005,1,93.94
9000598,5000154,10154,2,70.97
9000599,5000155,10013,1,20.18
9000600,5000155,10001,1,36.98
9000601,5000155,10187,1,38.21
9000602,5000155,10175,1,23.43
9000603,5000155,10004,1,76.16
9000604,5000155,10009,1,46.79
9000605,5000155,10012,2,46.16
9000606,5000156,10156,1,77.45
9000607,5000156,10023,2,41.27
9000608,5000157,10003,1,35.67
9000609,5000157,10004,1,76.16
9000610,5000157,10022,1,67.86
9000611,5000157,10134,1,112.8
9000612,5000158,10002,1,67.7
9000613,5000158,10112,1,81.97
9000614,5000158,10008,1,68.51
9000615,5000159,10005,1,93.94
9000616,5000159,10006,2,65.58
9000617,5000159,10293,1,56.27
9000618,5000159,10014,1,25.85
9000619,5000159,10011,1,21.85
9000620,5000159,10084,3,59.98
9000621,5000160,10100,1,148.21
9000622,5000160,10111,3,42.09
9000623,5000160,10127,1,26.79
9000624,5000160,10105,1,29.63
9000625,5000161,10008,1,68.51
9000626,5000161,10076,1,64.53
9000627,5000161,10014,1,25.85
9000628,5000161,10072,1,32.59
9000629,5000162,10003,3,35.67
9000630,5000162,10004,1,76.16
9000631,5000162,10236,2,95.97
9000632,5000162,10363,2,38.34
9000633,5000162,10316,2,31.76
9000634,5000162,10010,1,87.16
9000635,5000163,10009,1,46.79
9000636,5000163,10010,1,87.16
9000637,5000164,10039,1,110.16
9000638,5000164,10086,1,52.77
9000639,5000164,10199,1,43.92
9000640,5000164,10021,3,183.13
9000641,5000164,10046,3,34.1
9000642,5000164,10321,1,51.11
9000643,5000164,10146,3,195.32
9000644,5000165,10098,1,31.94
9000645,5000165,10072,2,32.59
9000646,5000165,10077,1,56.01
9000647,5000165,10025,1,25.02
9000648,5000165,10003,1,35.67
9000649,5000166,10005,1,93.94
9000650,5000166,10006,2,65.58
9000651,5000166,10496,2,25.4
9000652,5000166,10004,1,76.16
9000653,5000167,10012,1,46.16
9000654,5000167,10177,1,34.77
9000655,5000167,10095,1,16.36
9000656,5000167,10325,1,49.35
9000657,5000167,10035,1,33.61
9000658,5000167,10104,3,122.19
9000659,5000167,10371,2,64.6
9000660,5000168,10152,1,31.29
9000661,5000168,10014,1,25.85
9000662,5000168,10231,3,24.98
9000663,5000168,10008,1,68.51
9000664,5000169,10005,1,93.94
9000665,5000169,10031,1,76.26
9000666,5000169,10070,2,46.83
9000667,5000169,10165,1,137.54
9000668,5000170,10007,1,47.32
9000669,5000170,10008,1,68.51
9000670,5000170,10210,1,36.92
9000671,5000170,10498,1,78.87
9000672,5000170,10001,1,36.98
9000673,5000171,10316,1,31.76
9000674,5000172,10095,2,16.36
9000675,5000172,10042,1,58.31
9000676,5000172,10010,2,87.16
9000677,5000172,10486,1,51.78
9000678,5000173,10120,1,71.56
9000679,5000173,10126,1,61.41
9000680,5000173,10008,1,68.51
9000681,5000173,10275,1,101.99
9000682,5000173,10069,2,52.27
9000683,5000173,10005,1,93.94
9000684,5000174,10001,1,36.98
9000685,5000174,10002,1,67.7
9000686,5000174,10001,2,36.98
9000687,5000174,10326,1,40.9
9000688,5000174,10006,1,65.58
9000689,5000174,10169,3,73.23
9000690,5000175,10014,1,25.85
9000691,5000175,10087,1,62.24
9000692,5000175,10002,2,67.7
9000693,5000175,10298,2,85.38
9000694,5000175,10018,1,25.76
9000695,5000175,10235,1,52.03
9000696,5000176,10007,3,47.32
9000697,5000176,10008,1,68.51
9000698,5000176,10443,1,48.61
9000699,5000176,10139,1,69.1
9000700,5000176,10012,1,46.16
9000701,5000177,10053,2,16.49
9000702,5000177,10023,1,41.27
9000703,5000177,10203,2,43.41
9000704,5000177,10269,1,133.3
9000705,5000177,10005,3,93.94
9000706,5000177,10013,1,20.18
9000707,5000177,10002,1,67.7
9000708,5000177,10170,1,64.05
9000709,5000177,10132,1,61.61
9000710,5000178,10007,1,47.32
9000711,5000178,10008,3,68.51
9000712,5000178,10054,1,36.84
9000713,5000178,10172,1,59.66
9000714,5000178,10270,2,96.35
9000715,5000179,10011,2,21.85
9000716,5000179,10143,1,32.45
9000717,5000179,10112,2,81.97
9000718,5000180,10044,3,119.39
9000719,5000180,10035,1,33.61
9000720,5000180,10451,1,30.71
9000721,5000180,10002,1,67.7
9000722,5000181,10149,1,46.75
9000723,5000181,10326,1,40.9
9000724,5000181,10385,2,62.77
9000725,5000182,10183,1,42.04
9000726,5000182,10044,1,119.39
9000727,5000183,10005,2,93.94
9000728,5000183,10006,1,65.58
9000729,5000183,10225,1,54.23
9000730,5000183,10026,1,47.06
9000731,5000183,10059,3,48.1
9000732,5000184,10007,1,47.32
9000733,5000184,10008,3,68.51
9000734,5000184,10234,2,32.75
9000735,5000184,10018,1,25.76
9000736,5000184,10125,1,32.55
9000737,5000184,10031,1,76.26
9000738,5000184,10068,1,151.04
9000739,5000184,10115,1,70.65
9000740,5000185,10003,1,35.67
9000741,5000185,10004,2,76.16
9000742,5000185,10009,2,46.79
9000743,5000185,10043,2,62.12
9000744,5000186,10208,1,17.71
9000745,5000186,10008,1,68.51
9000746,5000187,10002,2,67.7
9000747,5000187,10012,1,46.16
9000748,5000187,10483,1,86.68
9000749,5000187,10019,1,15.0
9000750,5000187,10191,1,179.7
9000751,5000187,10496,1,25.4
9000752,5000187,10050,2,75.09
9000753,5000187,10025,1,25.02
9000754,5000188,10088,1,34.82
9000755,5000188,10370,1,54.98
9000756,5000188,10022,1,67.86
9000757,5000188,10209,1,36.11
9000758,5000188,10043,1,62.12
9000759,5000188,10042,3,58.31
9000760,5000189,10007,1,47.32
9000761,5000189,10097,1,47.14
9000762,5000189,10003,1,35.67
9000763,5000189,10143,1,32.45
9000764,5000190,10009,1,46.79
9000765,5000190,10010,2,87.16
9000766,5000190,10061,1,60.44
9000767,5000191,10007,1,47.32
9000768,5000191,10008,1,68.51
9000769,5000191,10272,1,83.72
9000770,5000191,10037,1,106.47
9000771,5000191,10162,1,22.98
9000772,5000192,10003,1,35.67
9000773,5000192,10105,2,29.63
9000774,5000192,10072,1,32.59
9000775,5000192,10002,3,67.7
9000776,5000192,10317,1,64.86
9000777,5000193,10053,1,16.49
9000778,5000193,10273,1,75.17
9000779,5000193,10053,1,16.49
9000780,5000194,10029,2,81.08
9000781,5000194,10060,1,50.42
9000782,5000194,10027,2,57.38
9000783,5000194,10008,1,68.51
9000784,5000194,10096,1,30.63
9000785,5000195,10003,1,35.67
9000786,5000195,10004,1,76.16
9000787,5000196,10009,1,46.79
9000788,5000196,10010,1,87.16
9000789,5000197,10349,2,37.47
9000790,5000197,10021,3,183.13
9000791,5000197,10090,1,26.38
9000792,5000197,10386,2,32.99
9000793,5000198,10004,1,76.16
9000794,5000198,10027,1,57.38
9000795,5000198,10010,1,87.16
9000796,5000198,10128,2,68.25
9000797,5000198,10478,1,51.68
9000798,5000199,10001,2,36.98
9000799,5000199,10002,2,67.7
9000800,5000199,10175,1,23.43
9000801,5000199,10130,1,28.75
9000802,5000199,10030,1,64.87
9000803,5000199,10185,2,80.84
9000804,5000200,10005,1,93.94
9000805,5000200,10001,1,36.98
9000806,5000200,10161,1,74.26
9000807,5000200,10371,2,64.6
9000808,5000200,10182,1,69.48
9000809,5000201,10015,1,107.98
9000810,5000201,10293,1,56.27
9000811,5000201,10083,2,71.82
9000812,5000201,10009,1,46.79
9000813,5000201,10127,1,26.79
9000814,5000201,10006,1,65.58
9000815,5000201,10016,2,85.42
9000816,5000201,10199,2,43.92
9000817,5000202,10448,1,124.42
9000818,5000202,10033,1,85.53
9000819,5000202,10012,2,46.16
9000820,5000202,10008,2,68.51
