dispatch_id,order_id,store_id,rider_id,rider_assigned_at,rider_arrived_at,dispatch_time,delivery_deadline
8000033,5000033,103,3058,2026-05-06 10:09:04.370495314,2026-05-06 10:09:40.370495314,2026-05-06 10:09:57.134176662,2026-05-06 10:23:00
8000034,5000034,103,3029,2026-01-17 22:10:59.432792078,2026-01-17 22:12:34.432792078,2026-01-17 22:13:02.896219518,2026-01-17 22:23:00
8000035,5000035,106,3083,2026-03-31 12:13:37.815924102,2026-03-31 12:16:06.815924102,2026-03-31 12:16:10.254876234,2026-03-31 12:23:00
8000036,5000036,102,3037,2026-06-10 20:11:18.241608876,2026-06-10 20:12:21.241608876,2026-06-10 20:12:33.452887476,2026-06-10 20:33:00
8000037,5000037,108,3036,2026-05-09 22:09:51.266445742,2026-05-09 22:12:11.266445742,2026-05-09 22:11:32.006658210,2026-05-09 22:23:00
8000038,5000038,102,3060,2026-05-19 08:13:22.577574580,2026-05-19 08:15:48.577574580,2026-05-19 08:14:02.639520125,2026-05-19 08:33:00
8000039,5000039,110,3097,2026-01-16 12:11:16.649348574,2026-01-16 12:11:11.649348574,2026-01-16 12:10:55.994169912,2026-01-16 12:23:00
8000040,5000040,107,3007,2026-02-06 16:09:13.350271104,2026-02-06 16:10:53.350271104,2026-02-06 16:10:23.971667466,2026-02-06 16:23:00
8000041,5000041,104,3082,2026-02-19 21:11:16.675367370,2026-02-19 21:12:39.675367370,2026-02-19 21:13:26.489823486,2026-02-19 21:33:00
8000042,5000042,104,3017,2026-02-22 10:11:51.435750836,2026-02-22 10:12:02.435750836,2026-02-22 10:14:20.437447668,2026-02-22 10:33:00
8000043,5000043,107,3075,2026-02-05 10:09:29.979543214,2026-02-05 10:10:38.979543214,2026-02-05 10:11:31.900181808,2026-02-05 10:23:00
8000044,5000044,101,3046,2026-06-25 13:12:31.849521248,2026-06-25 13:13:06.849521248,2026-06-25 13:13:41.665960890,2026-06-25 13:28:00
8000045,5000045,108,3013,2026-01-30 10:10:10.591891126,2026-01-30 10:10:13.591891126,2026-01-30 10:11:40.651282200,2026-01-30 10:23:00
8000046,5000046,106,3075,2026-05-09 11:14:22.419918753,2026-05-09 11:14:26.419918753,2026-05-09 11:14:58.698063329,2026-05-09 11:33:00
8000047,5000047,103,3003,2026-04-17 09:11:17.470909930,2026-04-17 09:12:33.470909930,2026-04-17 09:12:34.590344664,2026-04-17 09:28:00
8000048,5000048,109,3086,2026-04-21 21:13:08.036946236,2026-04-21 21:14:29.036946236,2026-04-21 21:13:13.517790558,2026-04-21 21:33:00
8000049,5000049,107,3040,2026-02-08 20:09:55.913285276,2026-02-08 20:11:38.913285276,2026-02-08 20:11:33.968728296,2026-02-08 20:23:00
8000050,5000050,102,3064,2026-02-25 09:11:27.348050622,2026-02-25 09:12:13.348050622,2026-02-25 09:13:13.964381556,2026-02-25 09:28:00
8000051,5000051,107,3011,2026-04-20 16:14:31.563433000,2026-04-20 16:15:53.563433000,2026-04-20 16:15:42.967400160,2026-04-20 16:23:00
8000052,5000052,105,3072,2026-02-24 17:10:38.289191910,2026-02-24 17:11:23.289191910,2026-02-24 17:13:01.091823084,2026-02-24 17:23:00
8000053,5000053,108,3071,2026-05-06 17:11:17.801734416,2026-05-06 17:11:53.801734416,2026-05-06 17:13:34.775778084,2026-05-06 17:28:00
8000054,5000054,105,3046,2026-01-08 23:12:40.810735318,2026-01-08 23:12:17.810735318,2026-01-08 23:12:33.904919364,2026-01-08 23:33:00
8000055,5000055,110,3071,2026-01-14 17:14:02.807779146,2026-01-14 17:15:11.807779146,2026-01-14 17:17:17.688530376,2026-01-14 17:28:00
8000056,5000056,110,3063,2026-05-12 18:10:37.221056654,2026-05-12 18:12:42.221056654,2026-05-12 18:12:22.358097840,2026-05-12 18:28:00
8000057,5000057,101,3059,2026-04-22 07:14:03.739855822,2026-04-22 07:14:24.739855822,2026-04-22 07:16:32.199153828,2026-04-22 07:33:00
8000058,5000058,105,3090,2026-01-08 08:11:46.191875796,2026-01-08 08:13:20.191875796,2026-01-08 08:12:34.162425972,2026-01-08 08:23:00
8000059,5000059,103,3029,2026-06-12 17:09:29.857984386,2026-06-12 17:10:42.857984386,2026-06-12 17:12:27.500356704,2026-06-12 17:23:00
8000060,5000060,105,3020,2026-01-01 22:12:00.761108844,2026-01-01 22:12:53.761108844,2026-01-01 22:14:23.533561242,2026-01-01 22:33:00
8000061,5000061,102,3017,2026-06-22 13:11:34.260593606,2026-06-22 13:13:03.260593606,2026-06-22 13:12:45.182026632,2026-06-22 13:28:00
8000062,5000062,106,3092,2026-05-13 17:13:46.509003724,2026-05-13 17:15:08.509003724,2026-05-13 17:14:01.711320702,2026-05-13 17:23:00
8000063,5000063,102,3040,2026-06-28 10:12:37.340006806,2026-06-28 10:14:12.340006806,2026-06-28 10:13:57.825340692,2026-06-28 10:33:00
8000064,5000064,107,3016,2026-06-21 14:11:46.907167946,2026-06-21 14:12:49.907167946,2026-06-21 14:13:31.304386116,2026-06-21 14:28:00
8000065,5000065,105,3090,2026-02-26 19:10:30.684829856,2026-02-26 19:11:43.684829856,2026-02-26 19:11:35.375984495,2026-02-26 19:23:00
8000066,5000066,110,3080,2026-05-17 18:13:36.067769734,2026-05-17 18:14:41.067769734,2026-05-17 18:14:51.319470828,2026-05-17 18:23:00
8000067,5000067,109,3042,2026-02-08 08:12:29.892027210,2026-02-08 08:13:33.892027210,2026-02-08 08:13:39.491849070,2026-02-08 08:33:00
8000068,5000068,107,3008,2026-03-27 21:11:29.808216348,2026-03-27 21:12:13.808216348,2026-03-27 21:11:35.301327924,2026-03-27 21:23:00
8000069,5000069,105,3033,2026-02-13 22:10:58.741875594,2026-02-13 22:12:19.741875594,2026-02-13 22:12:22.258276776,2026-02-13 22:33:00
8000070,5000070,108,3047,2026-03-29 15:11:28.529651756,2026-03-29 15:12:46.529651756,2026-03-29 15:11:38.895843852,2026-03-29 15:23:00
8000071,5000071,107,3035,2026-06-07 12:10:20.665363352,2026-06-07 12:12:02.665363352,2026-06-07 12:12:58.316840412,2026-06-07 12:23:00
8000072,5000072,102,3076,2026-03-20 16:11:51.742978188,2026-03-20 16:14:06.742978188,2026-03-20 16:14:05.071635378,2026-03-20 16:33:00
8000073,5000073,104,3063,2026-01-17 20:11:12.425460788,2026-01-17 20:11:02.425460788,2026-01-17 20:13:24.559651583,2026-01-17 20:33:00
8000074,5000074,110,3095,2026-02-28 14:10:00.687466240,2026-02-28 14:11:31.687466240,2026-02-28 14:11:20.574890736,2026-02-28 14:23:00
8000075,5000075,104,3076,2026-05-23 07:09:21.707335196,2026-05-23 07:10:07.707335196,2026-05-23 07:10:14.665067838,2026-05-23 07:28:00
8000076,5000076,101,3011,2026-04-05 08:10:21.801126145,2026-04-05 08:12:25.801126145,2026-04-05 08:10:42.153003143,2026-04-05 08:23:00
8000077,5000077,109,3004,2026-04-12 20:11:24.237779968,2026-04-12 20:12:58.237779968,2026-04-12 20:11:56.600059644,2026-04-12 20:28:00
8000078,5000078,110,3052,2026-03-20 20:12:23.655504026,2026-03-20 20:13:55.655504026,2026-03-20 20:13:39.380190678,2026-03-20 20:28:00
8000079,5000079,107,3025,2026-02-22 20:11:56.576230850,2026-02-22 20:12:59.576230850,2026-02-22 20:12:46.327295280,2026-02-22 20:33:00
8000080,5000080,107,3036,2026-04-19 09:10:23.013582206,2026-04-19 09:10:45.013582206,2026-04-19 09:11:08.764224858,2026-04-19 09:33:00
8000081,5000081,104,3096,2026-04-25 09:11:20.220126656,2026-04-25 09:13:02.220126656,2026-04-25 09:11:57.159829650,2026-04-25 09:23:00
8000082,5000082,104,3034,2026-06-12 13:11:13.018118722,2026-06-12 13:12:59.018118722,2026-06-12 13:13:08.709170670,2026-06-12 13:23:00
8000083,5000083,110,3054,2026-04-22 10:12:37.905922606,2026-04-22 10:13:32.905922606,2026-04-22 10:13:46.564833726,2026-04-22 10:28:00
8000084,5000084,109,3015,2026-06-30 13:11:57.758111572,2026-06-30 13:13:22.758111572,2026-06-30 13:14:17.669233944,2026-06-30 13:33:00
8000085,5000085,105,3031,2026-05-30 16:09:52.834250628,2026-05-30 16:10:50.834250628,2026-05-30 16:11:40.951350006,2026-05-30 16:28:00
8000086,5000086,104,3069,2026-01-15 11:11:44.524500086,2026-01-15 11:13:19.524500086,2026-01-15 11:12:55.906472082,2026-01-15 11:23:00
8000087,5000087,102,3076,2026-03-12 09:12:02.822132162,2026-03-12 09:11:59.822132162,2026-03-12 09:13:40.829166984,2026-03-12 09:33:00
8000088,5000088,101,3011,2026-03-11 13:10:44.220313109,2026-03-11 13:11:41.220313109,2026-03-11 13:11:28.922129033,2026-03-11 13:23:00
8000089,5000089,105,3030,2026-01-01 19:10:55.900433578,2026-01-01 19:11:46.900433578,2026-01-01 19:12:21.113710200,2026-01-01 19:23:00
8000090,5000090,106,3044,2026-02-02 17:13:20.979731906,2026-02-02 17:14:59.979731906,2026-02-02 17:13:43.664787348,2026-02-02 17:23:00
8000091,5000091,107,3043,2026-05-18 12:08:41.797770686,2026-05-18 12:09:42.797770686,2026-05-18 12:10:21.599989614,2026-05-18 12:23:00
8000092,5000092,109,3024,2026-03-05 12:12:49.833700334,2026-03-05 12:13:58.833700334,2026-03-05 12:14:50.745653550,2026-03-05 12:23:00
8000093,5000093,104,3040,2026-01-27 16:13:33.512920437,2026-01-27 16:13:43.512920437,2026-01-27 16:14:35.511560399,2026-01-27 16:33:00
8000094,5000094,102,3014,2026-02-22 09:13:14.538942788,2026-02-22 09:14:56.538942788,2026-02-22 09:12:46.593950580,2026-02-22 09:23:00
8000095,5000095,109,3077,2026-02-19 21:17:11.167631306,2026-02-19 21:18:28.167631306,2026-02-19 21:18:20.765685324,2026-02-19 21:28:00
8000096,5000096,108,3046,2026-02-01 21:13:19.354150912,2026-02-01 21:14:12.354150912,2026-02-01 21:15:13.157984208,2026-02-01 21:33:00
8000097,5000097,106,3089,2026-01-19 07:14:26.917629564,2026-01-19 07:15:48.917629564,2026-01-19 07:15:46.866610704,2026-01-19 07:28:00
8000098,5000098,101,3034,2026-05-19 23:10:45.345198324,2026-05-19 23:11:32.345198324,2026-05-19 23:11:24.974009622,2026-05-19 23:33:00
8000099,5000099,105,3042,2026-05-30 07:12:31.523293132,2026-05-30 07:12:58.523293132,2026-05-30 07:14:16.443468786,2026-05-30 07:23:00
8000100,5000100,107,3036,2026-03-31 14:11:44.648956822,2026-03-31 14:12:10.648956822,2026-03-31 14:13:29.766353832,2026-03-31 14:23:00
8000101,5000101,109,3037,2026-04-22 18:12:56.990133962,2026-04-22 18:13:21.990133962,2026-04-22 18:13:32.707468602,2026-04-22 18:33:00
8000102,5000102,106,3073,2026-06-16 12:11:28.854299524,2026-06-16 12:12:35.854299524,2026-06-16 12:12:45.246800562,2026-06-16 12:28:00
8000103,5000103,105,3001,2026-06-02 10:09:53.625658170,2026-06-02 10:12:12.625658170,2026-06-02 10:11:28.877428794,2026-06-02 10:33:00
8000104,5000104,104,3089,2026-01-06 07:11:52.655045240,2026-01-06 07:13:40.655045240,2026-01-06 07:13:23.350909404,2026-01-06 07:28:00
8000105,5000105,105,3074,2026-06-22 19:11:22.122713942,2026-06-22 19:12:41.122713942,2026-06-22 19:12:26.276974494,2026-06-22 19:23:00
8000106,5000106,101,3017,2026-01-13 07:11:16.953230768,2026-01-13 07:11:17.953230768,2026-01-13 07:13:00.724886556,2026-01-13 07:23:00
8000107,5000107,102,3057,2026-01-05 15:13:35.485494004,2026-01-05 15:13:46.485494004,2026-01-05 15:14:42.161886912,2026-01-05 15:28:00
8000108,5000108,108,3033,2026-03-14 13:11:33.005786436,2026-03-14 13:11:38.005786436,2026-03-14 13:12:27.161214894,2026-03-14 13:28:00
8000109,5000109,104,3084,2026-05-15 23:12:18.846974268,2026-05-15 23:12:56.846974268,2026-05-15 23:13:29.426059308,2026-05-15 23:23:00
8000110,5000110,109,3003,2026-01-15 22:12:00.935802582,2026-01-15 22:13:05.935802582,2026-01-15 22:14:05.766077940,2026-01-15 22:23:00
8000111,5000111,104,3009,2026-02-23 20:09:12.360480646,2026-02-23 20:11:41.360480646,2026-02-23 20:11:14.598081456,2026-02-23 20:28:00
8000112,5000112,110,3014,2026-02-17 19:14:58.584910038,2026-02-17 19:15:31.584910038,2026-02-17 19:16:14.975745786,2026-02-17 19:28:00
8000113,5000113,102,3052,2026-03-13 16:13:20.112493526,2026-03-13 16:13:57.112493526,2026-03-13 16:14:45.495154548,2026-03-13 16:28:00
8000114,5000114,102,3090,2026-06-28 12:12:48.466957080,2026-06-28 12:15:17.466957080,2026-06-28 12:14:36.617243856,2026-06-28 12:33:00
8000115,5000115,106,3031,2026-03-01 09:15:04.615359681,2026-03-01 09:15:34.615359681,2026-03-01 09:15:22.583180273,2026-03-01 09:23:00
8000116,5000116,109,3034,2026-02-07 23:10:52.770598878,2026-02-07 23:12:28.770598878,2026-02-07 23:10:46.544925318,2026-02-07 23:28:00
8000117,5000117,102,3038,2026-01-23 13:10:49.039343974,2026-01-23 13:11:23.039343974,2026-01-23 13:13:15.574146330,2026-01-23 13:23:00
8000118,5000118,106,3060,2026-02-05 14:13:11.590172152,2026-02-05 14:14:28.590172152,2026-02-05 14:15:51.481799982,2026-02-05 14:23:00
8000119,5000119,103,3097,2026-01-25 09:13:39.686621130,2026-01-25 09:15:00.686621130,2026-01-25 09:15:16.923481716,2026-01-25 09:33:00
8000120,5000120,108,3054,2026-04-14 11:09:58.990014742,2026-04-14 11:11:42.990014742,2026-04-14 11:12:08.889753582,2026-04-14 11:28:00
8000121,5000121,106,3047,2026-03-18 17:11:57.967565472,2026-03-18 17:13:02.967565472,2026-03-18 17:12:41.709962994,2026-03-18 17:28:00
8000122,5000122,107,3007,2026-04-01 14:11:56.081909884,2026-04-01 14:13:19.081909884,2026-04-01 14:13:59.202422856,2026-04-01 14:23:00
8000123,5000123,103,3009,2026-05-31 16:12:33.163392074,2026-05-31 16:13:32.163392074,2026-05-31 16:14:16.155999996,2026-05-31 16:33:00
8000124,5000124,103,3074,2026-04-16 10:10:29.083197658,2026-04-16 10:11:34.083197658,2026-04-16 10:12:14.219119308,2026-04-16 10:33:00
8000125,5000125,107,3078,2026-01-29 08:12:26.279479556,2026-01-29 08:13:57.279479556,2026-01-29 08:12:32.009694744,2026-01-29 08:23:00
8000126,5000126,104,3050,2026-03-10 22:09:49.340526092,2026-03-10 22:11:47.340526092,2026-03-10 22:12:31.909490112,2026-03-10 22:23:00
8000127,5000127,107,3011,2026-02-26 14:13:35.759832022,2026-02-26 14:14:31.759832022,2026-02-26 14:14:27.541642254,2026-02-26 14:23:00
8000128,5000128,102,3100,2026-05-30 13:12:44.734725360,2026-05-30 13:13:19.734725360,2026-05-30 13:14:35.134835070,2026-05-30 13:28:00
8000129,5000129,104,3081,2026-02-25 11:11:39.158902774,2026-02-25 11:12:50.158902774,2026-02-25 11:12:33.842394336,2026-02-25 11:33:00
8000130,5000130,102,3008,2026-01-26 18:13:29.055463950,2026-01-26 18:14:25.055463950,2026-01-26 18:13:04.654134906,2026-01-26 18:33:00
8000131,5000131,101,3075,2026-05-14 16:08:52.129277168,2026-05-14 16:10:46.129277168,2026-05-14 16:11:27.625067706,2026-05-14 16:28:00
8000132,5000132,103,3028,2026-03-19 13:11:52.241569866,2026-03-19 13:13:24.241569866,2026-03-19 13:13:04.490262894,2026-03-19 13:33:00
8000133,5000133,105,3074,2026-01-18 22:09:58.871340672,2026-01-18 22:11:07.871340672,2026-01-18 22:10:21.761555004,2026-01-18 22:28:00
8000134,5000134,102,3017,2026-05-05 22:11:07.465672816,2026-05-05 22:13:08.465672816,2026-05-05 22:13:09.736173798,2026-05-05 22:33:00
8000135,5000135,101,3062,2026-02-08 10:11:03.764125928,2026-02-08 10:12:50.764125928,2026-02-08 10:11:57.967545504,2026-02-08 10:23:00
8000136,5000136,109,3029,2026-06-07 17:10:49.379252474,2026-06-07 17:12:40.379252474,2026-06-07 17:13:25.338830364,2026-06-07 17:33:00
8000137,5000137,106,3032,2026-05-31 23:12:25.899327390,2026-05-31 23:14:15.899327390,2026-05-31 23:12:40.886076846,2026-05-31 23:33:00
8000138,5000138,108,3089,2026-03-08 15:13:43.287240646,2026-03-08 15:15:03.287240646,2026-03-08 15:14:31.554347820,2026-03-08 15:33:00
8000139,5000139,108,3028,2026-04-11 07:10:55.999994166,2026-04-11 07:10:48.999994166,2026-04-11 07:12:37.032983562,2026-04-11 07:28:00
8000140,5000140,102,3002,2026-04-13 09:13:59.228829378,2026-04-13 09:14:56.228829378,2026-04-13 09:14:58.377544554,2026-04-13 09:28:00
8000141,5000141,107,3044,2026-04-29 18:10:31.562598326,2026-04-29 18:10:43.562598326,2026-04-29 18:11:06.995307996,2026-04-29 18:23:00
8000142,5000142,109,3066,2026-01-13 22:13:47.408908406,2026-01-13 22:15:01.408908406,2026-01-13 22:14:48.962903682,2026-01-13 22:33:00
8000143,5000143,105,3038,2026-02-28 09:12:12.698125190,2026-02-28 09:12:40.698125190,2026-02-28 09:14:47.100802674,2026-02-28 09:23:00
8000144,5000144,109,3025,2026-01-31 16:12:54.351145414,2026-01-31 16:13:42.351145414,2026-01-31 16:13:46.501454532,2026-01-31 16:23:00
8000145,5000145,110,3032,2026-05-07 15:10:30.178192332,2026-05-07 15:11:51.178192332,2026-05-07 15:12:03.551680056,2026-05-07 15:23:00
8000146,5000146,106,3091,2026-01-13 11:12:04.367547770,2026-01-13 11:13:42.367547770,2026-01-13 11:12:33.582002790,2026-01-13 11:23:00
8000147,5000147,102,3081,2026-04-04 17:13:12.827460225,2026-04-04 17:14:01.827460225,2026-04-04 17:13:39.784901555,2026-04-04 17:23:00
8000148,5000148,107,3058,2026-05-12 21:12:57.486931256,2026-05-12 21:12:37.486931256,2026-05-12 21:12:48.565411860,2026-05-12 21:33:00
8000149,5000149,109,3070,2026-06-21 11:11:57.710388986,2026-06-21 11:12:56.710388986,2026-06-21 11:13:55.982907390,2026-06-21 11:33:00
8000150,5000150,106,3040,2026-02-22 07:11:23.802126652,2026-02-22 07:12:58.802126652,2026-02-22 07:13:13.377433158,2026-02-22 07:33:00
8000151,5000151,109,3015,2026-01-02 13:12:40.347286508,2026-01-02 13:12:41.347286508,2026-01-02 13:12:50.083664988,2026-01-02 13:33:00
8000152,5000152,106,3002,2026-05-11 12:12:44.913706098,2026-05-11 12:14:21.913706098,2026-05-11 12:13:16.051614318,2026-05-11 12:33:00
8000153,5000153,105,3003,2026-01-01 19:13:07.225215104,2026-01-01 19:13:19.225215104,2026-01-01 19:14:30.658262382,2026-01-01 19:28:00
8000154,5000154,110,3096,2026-01-13 16:12:37.877654524,2026-01-13 16:13:10.877654524,2026-01-13 16:14:06.703828686,2026-01-13 16:28:00
8000155,5000155,102,3004,2026-06-29 07:13:11.459958288,2026-06-29 07:13:40.459958288,2026-06-29 07:14:08.200351140,2026-06-29 07:23:00
8000156,5000156,105,3099,2026-06-06 12:09:51.187567150,2026-06-06 12:11:41.187567150,2026-06-06 12:10:45.625517052,2026-06-06 12:23:00
8000157,5000157,102,3045,2026-05-09 19:11:20.619599548,2026-05-09 19:13:17.619599548,2026-05-09 19:13:11.852993946,2026-05-09 19:28:00
8000158,5000158,107,3040,2026-06-01 15:10:28.681911178,2026-06-01 15:12:39.681911178,2026-06-01 15:11:52.654741320,2026-06-01 15:33:00
8000159,5000159,110,3056,2026-01-14 16:14:53.485627610,2026-01-14 16:16:12.485627610,2026-01-14 16:17:05.529920550,2026-01-14 16:33:00
8000160,5000160,110,3041,2026-01-17 11:14:00.304478732,2026-01-17 11:15:06.304478732,2026-01-17 11:16:12.361514988,2026-01-17 11:28:00
8000161,5000161,103,3048,2026-02-24 12:11:07.300334760,2026-02-24 12:11:45.300334760,2026-02-24 12:12:55.518203172,2026-02-24 12:28:00
8000162,5000162,108,3036,2026-01-05 09:12:38.927552876,2026-01-05 09:13:41.927552876,2026-01-05 09:12:54.949435626,2026-01-05 09:23:00
8000163,5000163,109,3088,2026-06-10 08:11:59.515018828,2026-06-10 08:13:44.515018828,2026-06-10 08:12:54.454744692,2026-06-10 08:28:00
8000164,5000164,109,3064,2026-01-11 07:14:04.644850736,2026-01-11 07:14:49.644850736,2026-01-11 07:14:24.956507388,2026-01-11 07:28:00
8000165,5000165,106,3076,2026-04-09 17:13:26.300807230,2026-04-09 17:14:35.300807230,2026-04-09 17:14:00.157035192,2026-04-09 17:33:00
8000166,5000166,102,3095,2026-06-04 09:10:33.835802658,2026-06-04 09:11:33.835802658,2026-06-04 09:12:16.722776640,2026-06-04 09:33:00
8000167,5000167,105,3059,2026-05-14 16:13:52.551017078,2026-05-14 16:15:16.551017078,2026-05-14 16:16:49.622092446,2026-05-14 16:28:00
8000168,5000168,108,3006,2026-02-12 23:11:31.404022088,2026-02-12 23:11:11.404022088,2026-02-12 23:12:30.131702352,2026-02-12 23:33:00
8000169,5000169,107,3095,2026-03-27 18:14:12.425795852,2026-03-27 18:14:14.425795852,2026-03-27 18:13:56.595916656,2026-03-27 18:23:00
8000170,5000170,104,3013,2026-04-10 16:10:39.034165788,2026-04-10 16:12:55.034165788,2026-04-10 16:12:57.973986498,2026-04-10 16:33:00
8000171,5000171,103,3029,2026-05-19 08:09:20.180491233,2026-05-19 08:09:54.180491233,2026-05-19 08:09:33.730457123,2026-05-19 08:28:00
8000172,5000172,107,3083,2026-03-19 15:11:29.819010692,2026-03-19 15:11:02.819010692,2026-03-19 15:12:35.874238314,2026-03-19 15:33:00
8000173,5000173,105,3038,2026-02-21 22:12:22.532800700,2026-02-21 22:13:39.532800700,2026-02-21 22:13:21.795114480,2026-02-21 22:33:00
8000174,5000174,105,3046,2026-05-24 13:12:42.666962090,2026-05-24 13:13:39.666962090,2026-05-24 13:15:00.405713250,2026-05-24 13:33:00
8000175,5000175,110,3064,2026-06-10 21:12:49.150397438,2026-06-10 21:14:21.150397438,2026-06-10 21:14:37.633804884,2026-06-10 21:28:00
8000176,5000176,101,3012,2026-03-30 19:11:05.495859244,2026-03-30 19:12:53.495859244,2026-03-30 19:12:28.856848794,2026-03-30 19:33:00
8000177,5000177,103,3081,2026-01-06 11:15:48.682141720,2026-01-06 11:16:59.682141720,2026-01-06 11:16:37.767585318,2026-01-06 11:28:00
8000178,5000178,110,3078,2026-04-01 09:12:57.656918708,2026-04-01 09:13:23.656918708,2026-04-01 09:13:38.904701424,2026-04-01 09:23:00
8000179,5000179,110,3059,2026-06-10 07:11:24.813916890,2026-06-10 07:12:42.813916890,2026-06-10 07:13:38.452468944,2026-06-10 07:23:00
8000180,5000180,104,3074,2026-06-29 11:12:42.993859564,2026-06-29 11:14:06.993859564,2026-06-29 11:13:42.705595014,2026-06-29 11:23:00
